@RELATION polyps

@ATTRIBUTE FILE_ID NUMERIC
@ATTRIBUTE C1ENERGYMEAN REAL
@ATTRIBUTE C1ENERGYVARIANCE REAL
@ATTRIBUTE C2ENERGYMEAN REAL
@ATTRIBUTE C2ENERGYVARIANCE REAL
@ATTRIBUTE C3ENERGYMEAN REAL
@ATTRIBUTE C3ENERGYVARIANCE REAL
@ATTRIBUTE C1ENTROPYMEAN REAL
@ATTRIBUTE C1ENTROPYVARIANCE REAL
@ATTRIBUTE C2ENTROPYMEAN REAL
@ATTRIBUTE C2ENTROPYVARIANCE REAL
@ATTRIBUTE C3ENTROPYMEAN REAL
@ATTRIBUTE C3ENTROPYVARIANCE REAL
@ATTRIBUTE C1CORRELATIONMEAN REAL
@ATTRIBUTE C1CORRELATIONVARIANCE REAL
@ATTRIBUTE C2CORRELATIONMEAN REAL
@ATTRIBUTE C2CORRELATIONVARIANCE REAL
@ATTRIBUTE C3CORRELATIONMEAN REAL
@ATTRIBUTE C3CORRELATIONVARIANCE REAL
@ATTRIBUTE C1DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C1DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C2DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C2DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C3DIFFERENCEMOMENTMEAN REAL
@ATTRIBUTE C3DIFFERENCEMOMENTVARIANCE REAL
@ATTRIBUTE C1INERTIAMEAN REAL
@ATTRIBUTE C1INERTIAVARIANCE REAL
@ATTRIBUTE C2INERTIAMEAN REAL
@ATTRIBUTE C2INERTIAVARIANCE REAL
@ATTRIBUTE C3INERTIAMEAN REAL
@ATTRIBUTE C3INERTIAVARIANCE REAL
@ATTRIBUTE C1CLUSTERSHADEMEAN REAL
@ATTRIBUTE C1CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C2CLUSTERSHADEMEAN REAL
@ATTRIBUTE C2CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C3CLUSTERSHADEMEAN REAL
@ATTRIBUTE C3CLUSTERSHADEVARIANCE REAL
@ATTRIBUTE C1CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C1CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C2CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C2CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C3CLUSTERPROMINENCEMEAN REAL
@ATTRIBUTE C3CLUSTERPROMINENCEVARIANCE REAL
@ATTRIBUTE C1HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C1HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C2HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C2HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE C3HARALICKCORRELATIONMEAN REAL
@ATTRIBUTE C3HARALICKCORRELATIONVARIANCE REAL
@ATTRIBUTE CLASS {0,1}

@DATA
11,0.37296,0.00020,0.06621,0.00000,0.03233,0.00000,2.57624,0.00015,4.75573,0.00297,5.37897,0.00029,0.00007,0.00000,-0.00400,0.00013,0.00001,0.00010,0.70660,0.00124,0.50050,0.00087,0.40792,0.00118,707.66234,865.62250,39.65397,50.99396,57.75920,241.17891,-81845.13710,477035827.73711,629.58813,116648.47484,3576.46115,11438743.85985,18563623.71304,42308197971036.26600,184215.84641,6893990847.19079,754826.61552,638819179987.47546,15204169.47386,252324496.17920,13423499.56757,253569070.64278,20356627.06824,1834899669.69478,1
12,0.46795,0.00081,0.03971,0.00002,0.04230,0.00002,1.72827,0.00208,5.44516,0.01166,5.19653,0.01914,0.00343,0.00001,-0.00904,0.00113,-0.00916,0.00196,0.76632,0.00243,0.39307,0.00241,0.41356,0.00198,72.03956,122.97869,22.86630,47.54062,16.99052,28.77738,-15786.56657,76655704.25283,1342.72285,2119464.88088,1332.75311,2136741.89020,3239919.01345,5278428722528.08200,186379.97214,60997462287.21567,201039.02191,73972342892.91745,12937203.37682,140265567.57206,18858869.27886,487984429.09875,22990114.67355,573188948.93452,1
13,0.44236,0.00030,0.04840,0.00000,0.05255,0.00000,1.89705,0.00034,5.47239,0.00192,4.98554,0.00025,0.00096,0.00001,-0.00448,0.00008,-0.00323,0.00023,0.75679,0.00106,0.44179,0.00074,0.48028,0.00099,53.49181,14.72827,50.30105,80.99659,37.83636,93.26722,-5865.53993,2589255.95204,408.92098,3114.02683,532.04707,1506.80120,1180112.91550,201857644416.24878,245150.78151,6617361414.87079,289775.50336,22322709711.97996,13526216.53306,2802824.85966,18839717.05276,2797341.80983,15137332.92110,15199238.70546,1
14,0.21178,0.00011,0.00695,0.00000,0.03561,0.00000,3.24935,0.00032,7.57657,0.00394,5.63483,0.00481,0.00124,0.00000,-0.00078,0.00004,0.00060,0.00014,0.58321,0.00311,0.22928,0.00175,0.40377,0.00406,175.36805,255.24467,110.70021,1038.25712,65.36372,638.87663,-28568.64671,67369675.04629,6469.57325,17878063.62709,6309.61991,17993283.62741,5659676.61814,5066361708658.77340,1025183.03038,655893608956.28003,973522.10142,652814613852.04602,20393292.48208,1379024741.13684,52259242.46541,34525895853.04369,23637531.01432,5203073226.70876,1
15,0.35766,0.00028,0.02979,0.00000,0.03560,0.00000,2.11031,0.00039,5.82188,0.00346,5.33773,0.00114,0.00210,0.00001,-0.00002,0.00007,0.00310,0.00010,0.69413,0.00210,0.37694,0.00129,0.41755,0.00151,70.15178,67.69634,61.00924,183.17641,53.36630,230.20448,-8233.75274,4228567.55896,2445.61382,1747109.37859,6770.06545,17854422.71747,1645172.96904,298164386248.25830,361402.33934,47014437032.87145,1120956.58497,708303563112.37012,14913910.39484,528673982.37953,21035412.94350,2936196266.45282,19181984.87680,3313376499.20696,1
16,0.43975,0.00029,0.05126,0.00000,0.04170,0.00000,2.18496,0.00111,5.68019,0.00566,5.18314,0.00170,0.00021,0.00000,-0.00611,0.00044,-0.01331,0.00114,0.75332,0.00105,0.43347,0.00138,0.42733,0.00221,493.22802,612.36384,31.92720,66.60408,23.90822,47.96707,-65347.65413,247464807.39177,1552.64917,2809697.78718,753.59289,597044.33479,14298938.01388,21924817923251.65600,227518.57113,87945093597.78467,105156.47909,17276636265.59005,13628693.63444,6395286.19675,23191620.50377,836198263.68868,22429987.86938,626935070.59064,1
17,0.26729,0.00037,0.01363,0.00000,0.08643,0.00000,2.82330,0.00223,7.12619,0.00054,4.26192,0.00362,0.00133,0.00000,-0.00192,0.00010,0.00694,0.00061,0.63139,0.00418,0.29170,0.00303,0.54120,0.00175,170.10075,254.83999,65.63682,373.43829,17.73051,58.92148,-30058.32949,109284131.02557,4385.50453,23163786.36140,3835.53066,17684361.52040,6008699.84773,7863714520950.17680,683226.54246,839944064410.93835,617018.90747,703627807056.59045,17685035.73567,917035197.19436,46547318.00483,17468434180.20329,15346489.58720,1257565965.12063,1
18,0.38572,0.00022,0.01031,0.00000,0.01734,0.00000,2.44820,0.00065,7.30166,0.00740,6.86703,0.00752,0.00061,0.00000,-0.00100,0.00000,-0.00696,0.00009,0.72577,0.00121,0.23371,0.00261,0.28590,0.00334,216.96954,168.62237,466.52847,10658.03721,90.87978,638.30342,-30447.45742,70954304.09935,121.68834,6832.15703,187.93442,3928.44838,6340028.84556,5682267062601.28810,1080920.24726,380960820038.37000,102081.79069,8717492241.23479,14962004.24823,35862355.15211,94718189.97471,39389314473.92399,45406539.03335,1003136114.54633,1
19,0.43022,0.00067,0.01401,0.00000,0.01965,0.00001,2.05317,0.00248,6.75243,0.01108,6.17721,0.02000,0.00432,0.06113,-0.00007,0.00005,-0.00084,0.00014,0.80811,0.00116,0.28034,0.00087,0.31330,0.00118,2.00349,0.21539,91.30026,730.27701,60.18676,326.05864,-70.50131,1075.85428,6426.19065,19478116.92399,3385.95065,11678662.05170,13719.14331,122531046.51162,970512.39062,641936739115.39624,543310.19513,369753603471.61951,8896737.56023,193573502.69302,40557049.82296,19950902511.39320,33617622.40451,9207894755.37166,1
20,0.43186,0.00087,0.04733,0.00001,0.05812,0.00003,1.99241,0.00413,5.21793,0.00592,4.81330,0.01883,0.00185,0.00000,-0.01056,0.00145,-0.00842,0.00226,0.74407,0.00296,0.43817,0.00255,0.46252,0.00174,152.22666,412.46815,20.08103,37.05667,15.31423,24.35323,-35541.87566,265747594.61190,1156.34384,1569015.18292,1352.57598,2209985.87486,7542109.20746,18338961240473.94900,157790.76083,42132716003.96932,201015.00060,74127133044.78368,13617228.77975,313421449.21422,18650917.47178,387019054.88685,19226334.49233,372501954.51210,1
